Date & Time,UV Index,High UV Index,UV Dose - MEDs
09-01-23 12:00 AM,,,
09-01-23 12:05 AM,,,
09-01-23 12:10 AM,,,
09-01-23 12:15 AM,,,
09-01-23 12:20 AM,,,
09-01-23 12:25 AM,,,
09-01-23 12:30 AM,,,
09-01-23 12:35 AM,,,
09-01-23 12:40 AM,,,
09-01-23 12:45 AM,,,
09-01-23 12:50 AM,,,
09-01-23 12:55 AM,,,
09-01-23 01:00 AM,,,
09-01-23 01:05 AM,,,
09-01-23 01:10 AM,,,
09-01-23 01:15 AM,,,
09-01-23 01:20 AM,,,
09-01-23 01:25 AM,,,
09-01-23 01:30 AM,,,
09-01-23 01:35 AM,,,
09-01-23 01:40 AM,,,
09-01-23 01:45 AM,,,
09-01-23 01:50 AM,,,
09-01-23 01:55 AM,,,
09-01-23 02:00 AM,,,
09-01-23 02:05 AM,,,
09-01-23 02:10 AM,,,
09-01-23 02:15 AM,,,
09-01-23 02:20 AM,,,
09-01-23 02:25 AM,,,
09-01-23 02:30 AM,,,
09-01-23 02:35 AM,,,
09-01-23 02:40 AM,,,
09-01-23 02:45 AM,,,
09-01-23 02:50 AM,,,
09-01-23 02:55 AM,,,
09-01-23 03:00 AM,,,
09-01-23 03:05 AM,,,
09-01-23 03:10 AM,,,
09-01-23 03:15 AM,,,
09-01-23 03:20 AM,,,
09-01-23 03:25 AM,,,
09-01-23 03:30 AM,,,
09-01-23 03:35 AM,,,
09-01-23 03:40 AM,,,
09-01-23 03:45 AM,,,
09-01-23 03:50 AM,,,
09-01-23 03:55 AM,,,
09-01-23 04:00 AM,,,
09-01-23 04:05 AM,,,
09-01-23 04:10 AM,,,
09-01-23 04:15 AM,,,
09-01-23 04:20 AM,,,
09-01-23 04:25 AM,,,
09-01-23 04:30 AM,,,
09-01-23 04:35 AM,,,
09-01-23 04:40 AM,,,
09-01-23 04:45 AM,,,
09-01-23 04:50 AM,,,
09-01-23 04:55 AM,,,
09-01-23 05:00 AM,,,
09-01-23 05:05 AM,,,
09-01-23 05:10 AM,,,
09-01-23 05:15 AM,,,
09-01-23 05:20 AM,,,
09-01-23 05:25 AM,,,
09-01-23 05:30 AM,,,
09-01-23 05:35 AM,,,
09-01-23 05:40 AM,,,
09-01-23 05:45 AM,,,
09-01-23 05:50 AM,,,
09-01-23 05:55 AM,,,
09-01-23 06:00 AM,,,
09-01-23 06:05 AM,,,
09-01-23 06:10 AM,,,
09-01-23 06:15 AM,,,
09-01-23 06:20 AM,,,
09-01-23 06:25 AM,,,
09-01-23 06:30 AM,,,
09-01-23 06:35 AM,,,
09-01-23 06:40 AM,,,
09-01-23 06:45 AM,,,
09-01-23 06:50 AM,,,
09-01-23 06:55 AM,,,
09-01-23 07:00 AM,,,
09-01-23 07:05 AM,,,
09-01-23 07:10 AM,,,
09-01-23 07:15 AM,,,
09-01-23 07:20 AM,0,0,0
09-01-23 07:25 AM,0,0,0
09-01-23 07:30 AM,0,0,0
09-01-23 07:35 AM,,,
09-01-23 07:40 AM,,,
09-01-23 07:45 AM,,,
09-01-23 07:50 AM,,,
09-01-23 07:55 AM,,,
